Time,Hum,Temp,sootM,sootN,CO2,sootA,CMD,
4-1-2016T11-22-13,9.86,19.95,0.0,0.0,576.57,0.0,71.937,
4-1-2016T11-22-14,9.786,19.952,-0.00632129,-0.0087312,566.212,-0.168645,85.6119,
4-1-2016T11-22-19,9.686,19.96,-0.0214912,-0.0192859,557.3,-0.43013,105.809,
4-1-2016T11-22-24,9.6,19.964,-0.0410846,-0.0253378,566.998,-0.641376,122.904,
4-1-2016T11-22-29,9.488,19.976,-0.0657016,-0.0289729,599.45,-0.82286,137.375,
4-1-2016T11-22-34,9.396,19.982,-0.0943418,-0.0313476,603.658,-0.983528,149.624,
4-1-2016T11-22-39,9.312,19.992,-0.122387,-0.0322778,600.558,-1.09997,159.992,
4-1-2016T11-22-44,9.256,20.0,-0.150464,-0.0326168,607.48,-1.19318,168.768,
4-1-2016T11-22-49,9.242,20.01,-0.178536,-0.0327928,609.904,-1.27437,176.197,
4-1-2016T11-22-54,9.272,20.022,-0.207585,-0.0331237,617.178,-1.35542,182.485,
4-1-2016T11-22-59,9.274,20.034,-0.23906,-0.0338606,616.976,-1.44769,187.807,
4-1-2016T11-23-04,9.244,20.044,-0.0531628,-0.0107182,613.28,-0.411674,192.172,
4-1-2016T11-23-09,9.222,20.054,0.650975,0.0669896,607.266,3.23439,195.666,
4-1-2016T11-23-14,9.218,20.064,1.16181,0.11683,598.802,5.67563,202.139,
4-1-2016T11-23-19,9.192,20.076,1.5337,0.143443,608.87,7.13972,211.579,
4-1-2016T11-23-24,9.19,20.09,1.82799,0.154462,608.322,7.95582,222.799,
4-1-2016T11-23-29,9.188,20.104,2.08822,0.156019,608.284,8.37632,235.583,
4-1-2016T11-23-34,9.166,20.12,2.36007,0.1528,609.248,8.60919,250.168,
4-1-2016T11-23-39,9.124,20.136,2.70521,0.148979,600.702,8.86649,266.083,
4-1-2016T11-23-44,9.078,20.15,3.04732,0.142239,599.57,8.95672,282.591,
4-1-2016T11-23-49,9.046,20.164,3.09217,0.124564,596.66,8.24757,300.065,
4-1-2016T11-23-54,9.018,20.186,3.34124,0.112734,589.328,7.92782,318.209,
4-1-2016T11-23-59,9.01,20.196,4.42954,0.120636,585.784,9.1465,335.478,
4-1-2016T11-24-04,9.01,20.208,5.1969,0.120893,586.436,9.70021,351.11,
4-1-2016T11-24-09,9.004,20.218,5.43845,0.111358,586.224,9.35159,365.775,
4-1-2016T11-24-14,9.0,20.228,5.8352,0.105138,584.264,9.24142,379.375,
4-1-2016T11-24-19,9.01,20.242,6.44911,0.102914,585.262,9.44937,391.76,
4-1-2016T11-24-24,9.014,20.252,6.90595,0.0992387,582.106,9.46232,403.339,
4-1-2016T11-24-29,9.0,20.264,7.75249,0.100594,581.666,9.95099,414.093,
4-1-2016T11-24-34,8.98,20.27,8.23182,0.09833,579.474,10.0218,424.021,
4-1-2016T11-24-39,8.97,20.28,8.08597,0.0900717,577.476,9.41214,433.833,
4-1-2016T11-24-44,8.97,20.288,8.21115,0.085011,563.932,9.11728,443.643,
4-1-2016T11-24-49,8.978,20.294,8.83293,0.084786,562.694,9.34082,453.192,
4-1-2016T11-24-54,8.988,20.3,9.48495,0.0848875,559.682,9.58747,462.647,
4-1-2016T11-24-59,8.994,20.308,10.0847,0.0845812,558.962,9.77532,471.739,
4-1-2016T11-25-04,8.996,20.31,10.5123,0.0831714,559.726,9.81326,479.522,
4-1-2016T11-25-09,8.978,20.32,11.0078,0.0826367,559.634,9.9338,485.789,
4-1-2016T11-25-14,8.97,20.33,11.3617,0.0817202,561.41,9.97491,490.109,
4-1-2016T11-25-19,8.96,20.34,11.6938,0.0813474,561.526,10.0491,492.825,
4-1-2016T11-25-24,8.98,20.344,11.8413,0.0804069,558.898,10.0198,494.503,
4-1-2016T11-25-29,8.998,20.35,11.7119,0.0781772,558.328,9.80236,495.81,
4-1-2016T11-25-34,9.036,20.358,11.8642,0.0780281,558.0,9.83591,497.603,
4-1-2016T11-25-39,9.12,20.366,12.7131,0.082452,557.184,10.4455,499.126,
4-1-2016T11-25-44,9.122,20.376,13.2644,0.0852207,556.004,10.8326,499.431,
4-1-2016T11-25-49,9.086,20.386,12.8774,0.0823826,544.914,10.4879,498.958,
4-1-2016T11-25-54,9.028,20.39,12.5442,0.08017,544.11,10.2102,498.18,
4-1-2016T11-25-59,8.992,20.4,12.0638,0.0771874,540.858,9.82656,497.567,
4-1-2016T11-26-04,8.99,20.404,12.0901,0.0774204,542.062,9.85346,497.837,
4-1-2016T11-26-09,9.018,20.418,12.4792,0.0798553,541.566,10.166,498.334,
4-1-2016T11-26-14,9.054,20.428,12.671,0.0810038,544.022,10.3157,498.373,
4-1-2016T11-26-19,9.064,20.444,12.5642,0.0803084,546.17,10.2277,498.163,
4-1-2016T11-26-24,9.07,20.458,12.5077,0.0799893,540.89,10.1853,497.884,
4-1-2016T11-26-29,9.06,20.468,12.698,0.0812931,536.392,10.3474,497.604,
4-1-2016T11-26-34,9.05,20.476,12.5973,0.0807155,532.308,10.2709,497.649,
4-1-2016T11-26-39,9.024,20.482,11.9155,0.0763431,534.138,9.71469,497.886,
4-1-2016T11-26-44,8.964,20.494,11.5835,0.0742366,535.042,9.44572,497.505,
4-1-2016T11-26-49,8.924,20.504,11.6278,0.0746816,531.52,9.49516,496.51,
4-1-2016T11-26-54,8.884,20.514,11.8376,0.0763494,527.884,9.69291,495.341,
4-1-2016T11-26-59,8.848,20.526,12.1474,0.0787954,526.516,9.98348,494.015,
4-1-2016T11-27-04,8.832,20.534,12.2335,0.0798658,526.948,10.0963,492.758,
4-1-2016T11-27-09,8.826,20.544,11.4749,0.075317,526.682,9.50336,492.219,
4-1-2016T11-27-14,8.82,20.55,10.8296,0.0712799,517.35,8.98523,492.971,
4-1-2016T11-27-19,8.82,20.56,10.1989,0.066998,515.106,8.45123,495.076,
4-1-2016T11-27-24,8.816,20.566,10.2731,0.0669397,518.29,8.46783,497.82,
4-1-2016T11-27-29,8.78,20.576,10.9364,0.0704309,519.896,8.94598,500.27,
4-1-2016T11-27-34,8.752,20.584,11.6326,0.0739135,518.908,9.43252,502.982,
4-1-2016T11-27-39,8.75,20.592,12.641,0.0791456,510.096,10.1524,505.403,
4-1-2016T11-27-44,8.748,20.602,13.0623,0.0808571,510.784,10.4134,506.429,
4-1-2016T11-27-49,8.714,20.614,12.6702,0.077876,508.91,10.0544,506.728,
4-1-2016T11-27-54,8.702,20.62,12.2479,0.0748822,507.87,9.686,507.296,
4-1-2016T11-27-59,8.732,20.63,12.0994,0.0735735,510.174,9.53489,508.315,
4-1-2016T11-28-04,8.74,20.632,11.9397,0.0721774,517.534,9.37322,509.467,
4-1-2016T11-28-09,8.74,20.642,12.0327,0.0722779,511.588,9.40725,510.492,
4-1-2016T11-28-14,8.73,20.656,11.7722,0.0703587,511.436,9.17359,510.9,
4-1-2016T11-28-19,8.698,20.672,10.794,0.0642599,517.528,8.38995,511.845,
4-1-2016T11-28-24,8.686,20.682,10.5905,0.0625252,517.508,8.18722,514.709,
4-1-2016T11-28-29,8.68,20.7,11.9846,0.0697295,512.338,9.17722,517.847,
4-1-2016T11-28-34,8.68,20.71,12.6642,0.0727047,512.766,9.61359,520.226,
4-1-2016T11-28-39,8.674,20.718,11.7913,0.0669603,522.272,8.88779,522.313,
4-1-2016T11-28-44,8.644,20.724,11.5222,0.0647028,519.61,8.6219,523.522,
4-1-2016T11-28-49,8.628,20.738,11.8242,0.0658298,522.672,8.79864,523.759,
4-1-2016T11-28-54,8.598,20.75,11.2807,0.0625102,519.716,8.36879,523.959,
4-1-2016T11-28-59,8.576,20.76,10.6559,0.0587775,519.54,7.88176,525.027,
4-1-2016T11-29-04,8.564,20.766,11.2728,0.0618042,515.832,8.30529,525.912,
4-1-2016T11-29-09,8.558,20.77,12.6859,0.0692529,511.908,9.32034,525.838,
4-1-2016T11-29-14,8.55,20.78,13.4759,0.0735101,512.63,9.89595,525.104,
4-1-2016T11-29-19,8.562,20.79,14.6041,0.0798837,513.354,10.7436,523.53,
4-1-2016T11-29-24,8.588,20.796,14.5905,0.0803471,514.93,10.7805,520.595,
4-1-2016T11-29-29,8.598,20.808,13.0126,0.0723711,512.454,9.67656,517.416,
4-1-2016T11-29-34,8.6,20.818,12.1156,0.0682136,513.064,9.08146,515.594,
4-1-2016T11-29-39,8.586,20.822,11.7773,0.0670196,510.54,8.88924,514.88,
4-1-2016T11-29-44,8.58,20.832,11.747,0.0673327,511.236,8.9083,514.893,
4-1-2016T11-29-49,8.592,20.84,11.9589,0.0688118,509.62,9.09185,515.126,
4-1-2016T11-29-54,8.598,20.848,11.9599,0.0689625,503.812,9.10514,515.031,
4-1-2016T11-29-59,8.57,20.85,12.2258,0.0706301,494.94,9.31916,514.694,
4-1-2016T11-30-04,8.542,20.858,12.1859,0.0705735,497.118,9.30366,513.907,
4-1-2016T11-30-09,8.54,20.862,11.4643,0.0666082,504.698,8.77105,513.12,
4-1-2016T11-30-14,8.534,20.87,11.1397,0.0649367,502.682,8.54106,512.777,
4-1-2016T11-30-19,8.53,20.876,11.6432,0.0680743,503.43,8.94443,512.403,
4-1-2016T11-30-24,8.522,20.88,11.7809,0.0691059,502.882,9.06953,511.494,
4-1-2016T11-30-29,8.514,20.89,10.843,0.0638377,510.646,8.36739,510.647,
4-1-2016T11-30-34,8.51,20.9,10.5435,0.0623191,509.442,8.1571,510.217,
4-1-2016T11-30-39,8.51,20.9,11.0968,0.0658396,509.05,8.60643,509.694,
4-1-2016T11-30-44,8.526,20.91,11.4545,0.0682057,502.55,8.90455,509.076,
4-1-2016T11-30-49,8.575,20.915,11.5311,0.0688949,504.52,8.98388,508.553,
4-1-2016T11-30-54,8.592,20.92,11.7898,0.070653,503.91,9.20343,508.234,
4-1-2016T11-30-59,8.602,20.928,12.3742,0.0743617,501.73,9.67714,507.736,
4-1-2016T11-31-04,8.624,20.938,12.3447,0.0744219,500.668,9.67414,506.908,
4-1-2016T11-31-09,8.63,20.946,12.2469,0.0741187,504.788,9.62167,506.143,
4-1-2016T11-31-14,8.63,20.958,12.2805,0.0746215,507.816,9.6733,505.472,
4-1-2016T11-31-19,8.618,20.962,11.7383,0.0715847,508.664,9.26793,504.869,
4-1-2016T11-31-24,8.572,20.974,11.0991,0.0679192,508.704,8.78281,504.357,
4-1-2016T11-31-29,8.55,20.98,9.68741,0.05939,507.94,7.67493,504.821,
4-1-2016T11-31-34,8.522,20.986,9.24835,0.0566006,504.25,7.31887,506.479,
4-1-2016T11-31-39,8.496,21.0,10.0613,0.0612438,500.77,7.93427,507.872,
4-1-2016T11-31-44,8.48,21.008,10.8212,0.0655738,489.144,8.5086,508.033,
4-1-2016T11-31-49,8.48,21.018,11.5606,0.0700075,490.272,9.08605,506.891,
4-1-2016T11-31-54,8.488,21.028,11.6273,0.0707008,496.294,9.16283,504.634,
4-1-2016T11-31-59,8.532,21.034,10.9401,0.0670492,501.25,8.66554,502.163,
4-1-2016T11-32-04,8.59,21.04,10.8605,0.0672343,499.27,8.65883,500.687,
4-1-2016T11-32-09,8.6,21.056,11.3776,0.0711033,502.958,9.12689,499.506,
4-1-2016T11-32-14,8.6,21.064,11.6494,0.0734114,505.246,9.39574,498.235,
4-1-2016T11-32-19,8.584,21.07,11.6848,0.0742164,504.418,9.47262,496.913,
4-1-2016T11-32-24,8.548,21.074,11.4614,0.073374,505.78,9.3393,495.4,
4-1-2016T11-32-29,8.514,21.08,10.6136,0.0684544,500.94,8.6904,494.111,
4-1-2016T11-32-34,8.51,21.086,10.1348,0.0658839,506.316,8.34101,492.878,
4-1-2016T11-32-39,8.496,21.094,9.8335,0.0643966,504.368,8.1318,492.22,
