Date,co2,no2,sootA,sootM
494158779,310,41,13,205
494158780,242,43,12,160
494158781,114,34,12,295
494158782,472,31,17,347
494158783,161,35,16,245
494158784,422,34,14,48
494158785,73,35,18,194
494158786,240,34,21,285
494158787,128,32,13,300
494158788,144,32,19,288
494158789,294,37,14,281
494158790,56,45,25,364
494158791,248,30,13,183
494158792,47,39,23,98
494158793,19,45,20,435
494158794,370,39,14,37
494158795,424,40,21,302
494158796,463,41,17,140
494158797,24,31,17,225
494158798,358,45,17,438
494158799,411,42,15,40
494158800,271,34,23,49
494158801,116,41,20,412
494158802,284,43,25,469
494158803,396,37,24,53
494158804,1,35,12,246
494158805,473,40,21,181
494158806,200,32,17,73
494158807,237,35,12,441
494158808,100,42,17,303
494158809,336,39,15,150
494158810,394,30,14,146
494158811,310,41,13,205
494158812,242,43,12,160
494158813,114,34,12,295
494158814,472,31,17,347
494158815,161,35,16,245
494158816,422,34,14,48
494158817,73,35,18,194
494158818,240,34,21,285
494158819,128,32,13,300
494158820,144,32,19,288
494158821,294,37,14,281
494158822,56,45,25,364
494158823,248,30,13,183
494158824,47,39,23,98
494158825,19,45,20,435
494158826,370,39,14,37
494158827,424,40,21,302
494158828,463,41,17,140
494158829,24,31,17,225
494158830,358,45,17,438
494158831,411,42,15,40
494158832,271,34,23,49
494158833,116,41,20,412
494158834,284,43,25,469
494158835,396,37,24,53
494158836,1,35,12,246
494158837,473,40,21,181
494158838,200,32,17,73
494158839,237,35,12,441
494158840,100,42,17,303
494158841,336,39,15,150
494158842,394,30,14,146
494158843,310,41,13,205
494158844,242,43,12,160
494158845,114,34,12,295
494158846,472,31,17,347
494158847,161,35,16,245
494158848,422,34,14,48
494158849,73,35,18,194
494158850,240,34,21,285
494158851,128,32,13,300
494158852,144,32,19,288
494158853,294,37,14,281
494158854,56,45,25,364
494158855,248,30,13,183
494158856,47,39,23,98
494158857,19,45,20,435
494158858,370,39,14,37
494158859,424,40,21,302
494158860,463,41,17,140
494158861,24,31,17,225
494158862,358,45,17,438
494158863,411,42,15,40
494158864,271,34,23,49
494158865,116,41,20,412
494158866,284,43,25,469
494158867,396,37,24,53
494158868,1,35,12,246
494158869,473,40,21,181
494158870,200,32,17,73
494158871,237,35,12,441
494158872,100,42,17,303
494158873,336,39,15,150
494158874,394,30,14,146
494158875,310,41,13,205
494158876,242,43,12,160
494158877,114,34,12,295
494158878,472,31,17,347
494158879,161,35,16,245
494158880,422,34,14,48
494158881,73,35,18,194
494158882,240,34,21,285
494158883,128,32,13,300
494158884,144,32,19,288
494158885,294,37,14,281
494158886,56,45,25,364
494158887,248,30,13,183
494158888,47,39,23,98
494158889,19,45,20,435
494158890,370,39,14,37
494158891,424,40,21,302
494158892,463,41,17,140
494158893,24,31,17,225
494158894,358,45,17,438
494158895,411,42,15,40
494158896,271,34,23,49
494158897,116,41,20,412
494158898,284,43,25,469
494158899,396,37,24,53
494158900,1,35,12,246
494158901,473,40,21,181
494158902,200,32,17,73
494158903,237,35,12,441
494158904,100,42,17,303
494158905,336,39,15,150
494158906,394,30,14,146
494158907,310,41,13,205
494158908,242,43,12,160
494158909,114,34,12,295
494158910,472,31,17,347
494158911,161,35,16,245
494158912,422,34,14,48
494158913,73,35,18,194
494158914,240,34,21,285
494158915,128,32,13,300
494158916,144,32,19,288
494158917,294,37,14,281
494158918,56,45,25,364
494158919,248,30,13,183
494158920,47,39,23,98
494158921,19,45,20,435
494158922,370,39,14,37
494158923,424,40,21,302
494158924,463,41,17,140
494158925,24,31,17,225
494158926,358,45,17,438
494158927,411,42,15,40
494158928,271,34,23,49
494158929,116,41,20,412
494158930,284,43,25,469
494158931,396,37,24,53
494158932,1,35,12,246
494158933,473,40,21,181
494158934,200,32,17,73
494158935,237,35,12,441
494158936,100,42,17,303
494158937,336,39,15,150
494158938,394,30,14,146
494158939,310,41,13,205
494158940,242,43,12,160
494158941,114,34,12,295
494158942,472,31,17,347
494158943,161,35,16,245
494158944,422,34,14,48
494158945,73,35,18,194
494158946,240,34,21,285
494158947,128,32,13,300
494158948,144,32,19,288
494158949,294,37,14,281
494158950,56,45,25,364
494158951,248,30,13,183
494158952,47,39,23,98
494158953,19,45,20,435
494158954,370,39,14,37
494158955,424,40,21,302
494158956,463,41,17,140
494158957,24,31,17,225
494158958,358,45,17,438
494158959,411,42,15,40
494158960,271,34,23,49
494158961,116,41,20,412
494158962,284,43,25,469
494158963,396,37,24,53
494158964,1,35,12,246
494158965,473,40,21,181
494158966,200,32,17,73
494158967,237,35,12,441
494158968,100,42,17,303
494158969,336,39,15,150
494158970,394,30,14,146
494158971,310,41,13,205
494158972,242,43,12,160
494158973,114,34,12,295
494158974,472,31,17,347
494158975,161,35,16,245
494158976,422,34,14,48
494158977,73,35,18,194
494158978,240,34,21,285
494158979,128,32,13,300
